"yyyy-mm-dd","team1","team2","score1","score2"
"12/05/2013","Mjallby","Syrianska","4","1"
"12/05/2013","Djurgarden","Malmo FF","3","2"
"13/05/2013","Brommapojkarna","Gefle","4","1"
"13/05/2013","Osters","Atvidabergs","0","1"
"13/05/2013","Helsingborg","Hacken","5","0"
"17/05/2013","Mjallby","Malmo FF","2","2"
"18/05/2013","Brommapojkarna","Syrianska","1","1"
"19/05/2013","Hacken","Gefle","2","2"
"19/05/2013","Osters","AIK","2","3"
"19/05/2013","Djurgarden","Halmstad","1","0"
"19/05/2013","Goteborg","Kalmar","2","0"
"19/05/2013","Norrkoping","Atvidabergs","2","1"
"20/05/2013","Helsingborg","Elfsborg","2","1"
"22/05/2013","Gefle","Goteborg","1","1"
"22/05/2013","AIK","Djurgarden","1","1"
"23/05/2013","Atvidabergs","Mjallby","3","0"
"23/05/2013","Elfsborg","Brommapojkarna","6","0"
"23/05/2013","Halmstad","Norrkoping","1","1"
"23/05/2013","Syrianska","Hacken","0","3"
"23/05/2013","Kalmar","Osters","3","1"
"28/05/2013","Syrianska","Gefle","2","2"
"29/05/2013","Malmo FF","Helsingborg","1","1"
"30/05/2013","Djurgarden","Kalmar","1","0"
"30/05/2013","Norrkoping","AIK","0","1"
"31/05/2013","Osters","Goteborg","2","0"
"01/06/2013","Brommapojkarna","Malmo FF","1","3"
"01/06/2013","Hacken","Elfsborg","0","1"
"01/06/2013","Helsingborg","Atvidabergs","3","0"
"01/06/2013","Mjallby","Halmstad","5","1"
"15/06/2013","Gefle","Osters","0","0"
"17/06/2013","Kalmar","Norrkoping","2","2"
"17/06/2013","Goteborg","Djurgarden","0","0"
"19/06/2013","Brommapojkarna","Halmstad","1","1"
"19/06/2013","Elfsborg","Gefle","0","0"
"19/06/2013","Hacken","Atvidabergs","0","2"
"20/06/2013","Mjallby","Kalmar","0","2"
"20/06/2013","Syrianska","Malmo FF","2","3"
"20/06/2013","Norrkoping","Goteborg","1","2"
"23/06/2013","Atvidabergs","Syrianska","1","0"
"23/06/2013","Halmstad","Hacken","0","2"
"23/06/2013","Kalmar","Helsingborg","1","1"
"24/06/2013","AIK","Brommapojkarna","4","0"
"24/06/2013","Gefle","Djurgarden","1","1"
"24/06/2013","Goteborg","Mjallby","4","2"
"24/06/2013","Osters","Norrkoping","0","2"
"24/06/2013","Malmo FF","Elfsborg","2","1"
"27/06/2013","Malmo FF","Hacken","1","3"
"27/06/2013","Helsingborg","AIK","1","2"
"30/06/2013","Elfsborg","Syrianska","5","1"
"30/06/2013","Djurgarden","Osters","2","0"
"01/07/2013","AIK","Mjallby","0","0"
"01/07/2013","Atvidabergs","Brommapojkarna","4","1"
"06/07/2013","Brommapojkarna","Kalmar","0","1"
"06/07/2013","Elfsborg","Atvidabergs","0","1"
"06/07/2013","Mjallby","Osters","1","1"
"07/07/2013","Malmo FF","Gefle","3","1"
"07/07/2013","AIK","Hacken","2","0"
"07/07/2013","Syrianska","Halmstad","1","2"
"08/07/2013","Helsingborg","Goteborg","1","1"
"13/07/2013","Brommapojkarna","Goteborg","2","1"
"13/07/2013","Elfsborg","Halmstad","2","2"
"13/07/2013","Hacken","Kalmar","0","1"
"14/07/2013","Gefle","Norrkoping","2","2"
"14/07/2013","Mjallby","Djurgarden","2","0"
"14/07/2013","Malmo FF","Atvidabergs","4","0"
"14/07/2013","Syrianska","AIK","1","2"
"15/07/2013","Helsingborg","Osters","3","0"
"21/07/2013","Djurgarden","Norrkoping","1","2"
"22/07/2013","Hacken","AIK","2","3"
"24/07/2013","Halmstad","Helsingborg","0","1"
"27/07/2013","Atvidabergs","Elfsborg","1","1"
"27/07/2013","Kalmar","Brommapojkarna","2","2"
"27/07/2013","Osters","Mjallby","1","1"
"28/07/2013","Gefle","Malmo FF","2","0"
"28/07/2013","Goteborg","Helsingborg","2","4"
"29/07/2013","Halmstad","Syrianska","1","1"
"03/08/2013","Kalmar","Syrianska","1","0"
"03/08/2013","Osters","Brommapojkarna","0","0"
"03/08/2013","AIK","Elfsborg","2","1"
